"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"605099.SH";"605099";"共创草坪";"江苏";"文教休闲";"江苏共创人造草坪股份有限公司";"CoCreation Grass Co, Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"H";"2"
"605100.SH";"605100";"华丰股份";"山东";"机械基件";"华丰动力股份有限公司";"Power HF Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605108.SH";"605108";"同庆楼";"安徽";"酒店餐饮";"同庆楼餐饮股份有限公司";"TongQingLou Catering Corporation Limited.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605111.SH";"605111";"新洁能";"江苏";"半导体";"无锡新洁能股份有限公司";"Wuxi Nce Power Co.,Ltd";"主板";"SSE";"CNY";"L";"2020";"";"H";"2"
"605116.SH";"605116";"奥锐特";"浙江";"化学制药";"奥锐特药业股份有限公司";"Aurisco Pharmaceutical Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605117.SH";"605117";"德业股份";"浙江";"家用电器";"宁波德业科技股份有限公司";"Ningbo Deye Technology Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"H";"1"
"605118.SH";"605118";"力鼎光电";"福建";"元器件";"厦门力鼎光电股份有限公司";"Xiamen Leading Optics Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605122.SH";"605122";"四方新材";"重庆";"水泥";"重庆四方新材股份有限公司";"Chongqing Sifang New Material Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605123.SH";"605123";"派克新材";"江苏";"航空";"无锡派克新材料科技股份有限公司";"Wuxi Paike New Materials Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605128.SH";"605128";"上海沿浦";"上海";"汽车配件";"上海沿浦金属制品股份有限公司";"Shanghai Yanpu Metal Products Co., Ltd";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605133.SH";"605133";"嵘泰股份";"江苏";"汽车配件";"江苏嵘泰工业股份有限公司";"Jiangsu Rongtai Industry Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605136.SH";"605136";"丽人丽妆";"上海";"其他商业";"上海丽人丽妆化妆品股份有限公司";"Shanghai Lily&Beauty Cosmetics Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"H";"2"
"605138.SH";"605138";"盛泰集团";"浙江";"服饰";"浙江盛泰服装集团股份有限公司";"Zhejiang Sunrise Garment Group Co., Ltd";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605151.SH";"605151";"西上海";"上海";"汽车配件";"西上海汽车服务股份有限公司";"West Shanghai Automotive Service Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
