"ppe_ta";"ts_code";"time"
"0.816545";"000501";"2014"
"0.842485";"000501";"2015"
"0.846785";"000501";"2016"
"0.853142";"000501";"2017"
"0.691273";"000501";"2018"
"0.708686";"000501";"2019"
"0.706936";"000501";"2020"
"0.892173";"000503";"2009"
"0.916125";"000503";"2010"
"0.963513";"000503";"2011"
"0.957054";"000503";"2012"
"0.957009";"000503";"2013"
"0.954037";"000503";"2014"
"0.907891";"000503";"2015"
"0.864021";"000503";"2016"
"0.882382";"000503";"2017"
"0.860686";"000503";"2018"
"0.868735";"000503";"2019"
"0.894101";"000503";"2020"
"0.983962";"000505";"2009"
"0.976884";"000505";"2010"
"0.975183";"000505";"2011"
"0.977795";"000505";"2012"
"0.974804";"000505";"2013"
"0.981366";"000505";"2014"
"0.982782";"000505";"2015"
"0.997335";"000505";"2016"
"0.902959";"000505";"2017"
"0.883108";"000505";"2018"
"0.893035";"000505";"2019"
"0.904217";"000505";"2020"
"0.993184";"000507";"2009"
"0.969289";"000507";"2010"
"0.943085";"000507";"2011"
"0.947135";"000507";"2012"
"0.940117";"000507";"2013"
"0.952509";"000507";"2014"
"0.949721";"000507";"2015"
"0.9564";"000507";"2016"
"0.956065";"000507";"2017"
"0.963149";"000507";"2018"
"0.97313";"000507";"2019"
"0.87993";"000507";"2020"
"0.920208";"000513";"2009"
"0.92714";"000513";"2010"
"0.940597";"000513";"2011"
"0.945299";"000513";"2012"
"0.950113";"000513";"2013"
"0.950522";"000513";"2014"
"0.955121";"000513";"2015"
"0.961826";"000513";"2016"
"0.976925";"000513";"2017"
"0.980087";"000513";"2018"
"0.981498";"000513";"2019"
"0.983513";"000513";"2020"
"1";"000517";"2009"
"1";"000517";"2010"
"0.999892";"000517";"2011"
"0.999144";"000517";"2012"
"0.998851";"000517";"2013"
"0.998497";"000517";"2014"
"0.998896";"000517";"2015"
"0.999227";"000517";"2016"
"0.999297";"000517";"2017"
"0.999582";"000517";"2018"
"0.999652";"000517";"2019"
"0.999771";"000517";"2020"
"0.948051";"000519";"2009"
"0.963828";"000519";"2010"
"0.963912";"000519";"2011"
"0.96429";"000519";"2012"
"0.974459";"000519";"2013"
