"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"600602";"0";"0";"0";"0";"0";"2019";"2019"
"600603";"0";"0";"0";"0";"0";"2009";"2009"
"600603";"0";"0";"0";"0";"0";"2010";"2010"
"603368";"0";"0";"0";"0";"0";"2017";"2017"
"000510";"0";"0";"0";"0";"0";"2019";"2019"
"600603";"0";"0";"0";"0";"0";"2011";"2011"
"600792";"0";"0";"0";"0";"0";"2018";"2018"
"000513";"0";"0";"0";"0";"0";"2009";"2009"
"600603";"0";"0";"0";"0";"0";"2012";"2012"
"600603";"0";"0";"0";"0";"0";"2013";"2013"
"600792";"0";"0";"0";"0";"0";"2019";"2019"
"603368";"0";"0";"0";"0";"0";"2018";"2018"
"603368";"0";"0";"0";"0";"0";"2019";"2019"
"600793";"0";"0";"0";"0";"0";"2009";"2009"
"000513";"0";"0";"0";"0";"0";"2010";"2010"
"600793";"0";"0";"0";"0";"0";"2010";"2010"
"000513";"0";"0";"0";"0";"0";"2011";"2011"
"600793";"0";"0";"0";"0";"0";"2011";"2011"
"600603";"0";"0";"0";"0";"0";"2014";"2014"
"000513";"0";"0";"0";"0";"0";"2012";"2012"
"600793";"0";"0";"0";"0";"0";"2013";"2013"
"603369";"0";"0";"0";"0";"0";"2014";"2014"
"603369";"0";"0";"0";"0";"0";"2015";"2015"
"000513";"0";"0";"0";"0";"0";"2013";"2013"
"600603";"0";"0";"0";"0";"0";"2015";"2015"
"600603";"2";"0";"0";"0";"0";"2016";"2016"
"600793";"0";"0";"0";"0";"0";"2014";"2014"
"600793";"0";"0";"0";"0";"0";"2015";"2015"
"603369";"0";"0";"0";"0";"0";"2016";"2016"
"600603";"0";"0";"0";"0";"0";"2017";"2017"
"600793";"0";"0";"0";"0";"0";"2016";"2016"
"603369";"0";"0";"0";"0";"0";"2017";"2017"
"600603";"0";"0";"0";"0";"0";"2018";"2018"
"600793";"0";"0";"0";"0";"0";"2018";"2018"
"600604";"0";"0";"0";"0";"2";"2009";"2009"
"600604";"0";"0";"0";"0";"0";"2010";"2010"
"600604";"0";"0";"0";"0";"0";"2011";"2011"
"600793";"0";"0";"0";"0";"0";"2019";"2019"
"603369";"0";"0";"0";"0";"0";"2018";"2018"
"603369";"0";"0";"0";"0";"1";"2019";"2019"
"600794";"0";"0";"0";"0";"0";"2009";"2009"
"600794";"0";"0";"0";"0";"0";"2010";"2010"
"600794";"0";"0";"0";"0";"0";"2011";"2011"
"603377";"0";"0";"0";"0";"0";"2015";"2015"
"600794";"0";"0";"0";"0";"0";"2012";"2012"
"603377";"0";"0";"0";"0";"0";"2016";"2016"
"603377";"0";"0";"0";"0";"0";"2018";"2018"
"603377";"0";"0";"0";"0";"1";"2019";"2019"
"600794";"0";"0";"0";"0";"0";"2014";"2014"
"603378";"0";"0";"0";"0";"0";"2017";"2017"
"600794";"0";"0";"0";"0";"0";"2015";"2015"
"000513";"0";"0";"0";"0";"0";"2014";"2014"
