"tuobinQ";"ts_code";"time"
"3.99704";"000416";"2013"
"4.732808";"000416";"2014"
"3.868376";"000416";"2015"
"6.41054";"000416";"2016"
"4.057772";"000416";"2017"
"2.386653";"000416";"2018"
"3.181462";"000416";"2019"
"2.542632";"000417";"2009"
"2.707583";"000417";"2010"
"1.695972";"000417";"2011"
"1.356969";"000417";"2012"
"1.190961";"000417";"2013"
"1.345371";"000417";"2014"
"1.557546";"000417";"2015"
"1.280961";"000417";"2016"
"1.195488";"000417";"2017"
"0.897159";"000417";"2018"
"0.918164";"000417";"2019"
"2.156727";"000418";"2009"
"1.555447";"000418";"2010"
"1.063724";"000418";"2011"
"1.071416";"000418";"2012"
"1.143901";"000418";"2013"
"1.221699";"000418";"2014"
"1.524448";"000418";"2015"
"1.6052";"000418";"2016"
"2.345006";"000418";"2017"
